ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国ODA供与国,,オーストラリア,オーストリア,ベルギー,カナダ,デンマーク,フィンランド,フランス,ドイツ,ギリシャ,アイルランド,イタリア,日本,韓国,ルクセンブルグ,オランダ,ニュージーランド,ノルウェー,ポルトガル,スペイン,スウェーデン,スイス,イギリス,アメリカ,クゥエート,アラブ首長国連邦,主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計主要先進国　計,非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計非主要先進国　計,国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計国際機関経由　計,合計合計合計合計合計合計合計合計合計合計合計合計合計
ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国ODA受取国,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地域地域地域地域地域地域地域地域地域地域地域地域地域,国国国国国国国国国国国国国,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アフリカ,Chad,0.2,0,7.3,11.7,0.7,4.6,46.1,20.1,0,0,0.6,13.8,0,1.6,4.9,0,1.7,1,7.9,12.2,13.5,2.9,134.6,0,0.6,285.4,0.6,210.1,496
アフリカ,Comoros,0,0,0.2,0.2,0,0,22.6,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0.1,0.4,0.3,16.1,24.2,16.4,31.2,71.8
アフリカ,"Congo, Dem. Rep.",8.2,129.6,652.8,26.5,6.3,6.5,26.1,77.1,1.1,8.8,9.6,80.4,5.7,3.2,422.2,0,28.3,0.2,306.2,72.1,4.9,251.2,277.8,4.6,2.4,2405,7,3549.1,5961.1
アフリカ,"Congo, Rep.",0,0,60.6,21.9,0.1,0,918.9,9.4,0.6,0,117,6,0.3,0.1,0,0,0.6,0,0.5,1.4,10.6,78.7,43.2,0,0,1269.9,0,331.4,1601.3
アフリカ,Cote d'Ivoire,0,4.5,10.1,6.9,0,0.5,153.6,97.6,0,0.4,2.2,85,1.2,0.5,5.5,0,1.7,0,5,1.2,2.6,26.1,76.3,0.9,0.8,480.9,1.7,470.7,953.3
アフリカ,Djibouti,0,0,0,0.2,0,0,46.8,0.2,0,0,0.4,38,0.3,0,0,0,0.3,0,0,0.1,0.2,0,13.3,6.6,3.7,99.8,10.3,31.4,141.5
アフリカ,Equatorial Guinea,0,0,0,0,0,0,4.5,0.1,0,0,54.7,0.3,0,0,0,0,0,0,19.7,0,0,0,0.1,0,0,79.5,0,9.3,88.8
アフリカ,Eritrea,0,0,0,0,0.9,0.7,0.6,1.1,0,1.3,0.8,9.9,0,0,2.8,0,9.6,0,0.2,1.3,0.5,5.5,0.9,0,3.7,36.2,3.7,105.9,145.8
アフリカ,Ethiopia,2.3,9.7,4.2,140.4,7.5,25.6,13.7,96.5,1.4,48.8,18.3,93.9,10.2,0.7,54.2,0,32.6,0,39.5,39.4,4.1,407.1,875.4,15.5,0.2,1925.5,15.7,1547.2,3488.5
アフリカ,Gabon,0,0,0.2,0.1,0,0,75.8,2.6,0,0,0.1,26.7,0.2,0,0,0,0,0,0.2,0,0,0.2,1.5,0.5,0,107.6,0.5,21.7,129.8
アフリカ,Gambia,0,0.1,0.4,0.5,0.4,0.2,0.6,0.6,0,0,0,17.2,0.1,0.1,0,0,0.1,0,4,0.8,0,2,6.5,2.8,0.1,33.6,2.9,73.1,109.7
アフリカ,Ghana,0.5,2.3,30.2,114.2,102,0.3,47,58.2,0.1,1.2,1.2,70,6.7,0.2,72.9,0.2,3.6,0,18.7,0.3,13.6,168.3,208.1,3.7,0.3,919.8,4,788.6,1712.4
アフリカ,Guinea,0,0.2,1,2.2,0,0,48.4,13.3,0,0.1,0.4,10.8,0.2,0.4,0,0,0,0,2.1,1,1.5,0,21.7,2.2,0,103.2,2.2,141.2,246.6
アフリカ,Guinea-Bissau,0.2,0,0.7,0.5,0.7,0.8,1.8,1.3,0,0.6,0.3,16.1,0.1,0.1,0,0,0,15.7,8.3,0,0.2,0.1,6.5,0,0,54,0,248.6,302.6
アフリカ,Kenya,7.3,1.6,7.6,26.1,65.9,25.8,135.9,89.3,0.4,12.8,13.4,116.5,3.4,0.2,20.2,0.4,13.4,0,9,47.7,4.1,119.1,567,1.4,2.1,1287.3,3.5,569.6,1860.4
アフリカ,Lesotho,0.6,0,0,0.4,0.3,0.1,0.5,5,0,15.7,0,8.8,0.1,0,0,0,1.1,0,0,0.4,0.4,4.8,57.5,3.4,0,95.7,3.4,176.6,275.7
アフリカ,Liberia,0.3,7.9,0.1,1.1,9.9,0.7,235.2,50.1,0,10.6,1.9,134.3,0,0.4,40,0,22.8,0,1.8,26.8,4.7,28.7,131.4,0,1.4,708.6,1.4,1124.3,1834.4
アフリカ,Madagascar,0.1,0.2,2.3,1.9,0.1,0.3,92.7,13.1,0.1,0,3.4,9.6,0.5,0.3,0,0,13,0,0.3,1,6.7,1.9,77,9,0.1,224.4,9.1,248.1,481.5
アフリカ,Malawi,3.9,0.1,12,16.6,6.4,1.7,1.1,41.9,0,20.2,2.3,69.5,0.4,0.3,0,0.1,64.7,0,0.6,2.5,0.2,148,126.3,0,0,518.9,0,501,1019.9
